Grouping,Tier 1 %,Tier 2 %,Tier 3 %,Notes
Short-haul AM,0.3%,4.4%,16.7%,High volume of business commuters; expect short dwell times.
Short-haul PM,0.3%,4.4%,16.9%,Standard mix of leisure and status passengers.
Long-haul AM,0.2%,3.0%,11.3%,Standard mix of leisure and status passengers.
Long-haul PM,0.2%,2.9%,11.1%,Peak premium demand; passengers likely to dine in lounge.
European (All Times),0.3%,4.4%,16.9%,Standard mix of leisure and status passengers.
North America,0.2%,2.9%,11.2%,Standard mix of leisure and status passengers.
,,,,
JUSTIFICATION / REPORT,,,,
1. GROUPING METHOD,Grouped by Haul Type & Time (AM/PM),,,
2. KEY INSIGHT,The 'Short-haul AM' group shows the highest premium demand (0.3% Gold members).,,,
3. OPERATIONAL NOTE,"The 'Short-haul PM' group drives the most volume (16.9% Bronze/Club), requiring faster service.",,,
4. SCALABILITY,Model uses dynamic logic (Time < 12) to adapt to future schedules.,,,
